,arg_names,arg_text,arg_types,args_string,args_vals,class_name,link,module,section_name
90,"['alpha', 'fit_intercept', 'positive', 'verbose', 'normalize', 'copy_X', 'precompute', 'max_iter', 'eps', 'fit_path']","['alpha : float', 'fit_intercept : boolean', 'positive : boolean (default=False)', 'verbose : boolean or integer, optional', 'normalize : boolean, optional, default False', 'copy_X : boolean, optional, default True', ""precompute : True | False | 'auto' | array-like"", 'max_iter : integer, optional', 'eps : float, optional', 'fit_path : boolean']","[""<type 'float'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'numpy.ndarray'>"", ""<type 'int'>"", ""<type 'float'>"", ""<type 'bool'>""]","alpha=1.0, fit_intercept=True, verbose=False, normalize=True, precompute='auto', max_iter=500, eps=2.2204460492503131e-16, copy_X=True, fit_path=True, positive=False","[('alpha', '1.0'), ('fit_intercept', 'True'), ('verbose', 'False'), ('normalize', 'True'), ('precompute', ""'auto'""), ('max_iter', '500'), ('eps', '2.2204460492503131e-16'), ('copy_X', 'True'), ('fit_path', 'True'), ('positive', 'False')]",LassoLars,http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLars.html#sklearn.linear_model.LassoLars,sklearn.linear_model,Generalized Linear Models
91,"['fit_intercept', 'positive', 'verbose', 'normalize', 'precompute', 'max_iter', 'cv', 'max_n_alphas', 'n_jobs', 'eps', 'copy_X']","['fit_intercept : boolean', 'positive : boolean (default=False)', 'verbose : boolean or integer, optional', 'normalize : boolean, optional, default False', ""precompute : True | False | 'auto' | array-like"", 'max_iter : integer, optional', 'cv : int, cross-validation generator or an iterable, optional', 'max_n_alphas : integer, optional', 'n_jobs : integer, optional', 'eps : float, optional', 'copy_X : boolean, optional, default True']","[""<type 'bool'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'numpy.ndarray'>"", ""<type 'int'>"", ""(<type 'int'>, <class 'sklearn.cross_validation.KFold'>)"", ""<type 'int'>"", ""<type 'int'>"", ""<type 'float'>"", ""<type 'bool'>""]","fit_intercept=True, verbose=False, max_iter=500, normalize=True, precompute='auto', cv=None, max_n_alphas=1000, n_jobs=1, eps=2.2204460492503131e-16, copy_X=True, positive=False","[('fit_intercept', 'True'), ('verbose', 'False'), ('max_iter', '500'), ('normalize', 'True'), ('precompute', ""'auto'""), ('cv', 'None'), ('max_n_alphas', '1000'), ('n_jobs', '1'), ('eps', '2.2204460492503131e-16'), ('copy_X', 'True'), ('positive', 'False')]",LassoLarsCV,http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLarsCV.html#sklearn.linear_model.LassoLarsCV,sklearn.linear_model,Generalized Linear Models
92,"['criterion', 'fit_intercept', 'positive', 'verbose', 'normalize', 'copy_X', 'precompute', 'max_iter', 'eps']","[""criterion : 'bic' | 'aic'"", 'fit_intercept : boolean', 'positive : boolean (default=False)', 'verbose : boolean or integer, optional', 'normalize : boolean, optional, default False', 'copy_X : boolean, optional, default True', ""precompute : True | False | 'auto' | array-like"", 'max_iter : integer, optional', 'eps : float, optional']","[None, ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'numpy.ndarray'>"", ""<type 'int'>"", ""<type 'float'>""]","criterion='aic', fit_intercept=True, verbose=False, normalize=True, precompute='auto', max_iter=500, eps=2.2204460492503131e-16, copy_X=True, positive=False","[('criterion', ""'aic'""), ('fit_intercept', 'True'), ('verbose', 'False'), ('normalize', 'True'), ('precompute', ""'auto'""), ('max_iter', '500'), ('eps', '2.2204460492503131e-16'), ('copy_X', 'True'), ('positive', 'False')]",LassoLarsIC,http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LassoLarsIC.html#sklearn.linear_model.LassoLarsIC,sklearn.linear_model,Generalized Linear Models
93,"['fit_intercept', 'normalize', 'copy_X', 'n_jobs']","['fit_intercept : boolean, optional', 'normalize : boolean, optional, default False', 'copy_X : boolean, optional, default True', 'n_jobs : int, optional, default 1']","[""<type 'bool'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'int'>""]","fit_intercept=True, normalize=False, copy_X=True, n_jobs=1","[('fit_intercept', 'True'), ('normalize', 'False'), ('copy_X', 'True'), ('n_jobs', '1')]",LinearRegression,http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LinearRegression.html#sklearn.linear_model.LinearRegression,sklearn.linear_model,Generalized Linear Models
94,"['penalty', 'dual', 'C', 'fit_intercept', 'intercept_scaling', 'class_weight', 'max_iter', 'random_state', 'solver', 'tol', 'multi_class', 'verbose', 'warm_start', 'n_jobs']","[""penalty : str, 'l1' or 'l2'"", 'dual : bool', 'C : float, optional (default=1.0)', 'fit_intercept : bool, default: True', 'intercept_scaling : float, default: 1', ""class_weight : dict or 'balanced', optional"", 'max_iter : int', 'random_state : int seed, RandomState instance, or None (default)', ""solver : {'newton-cg', 'lbfgs', 'liblinear', 'sag'}"", 'tol : float, optional', ""multi_class : str, {'ovr', 'multinomial'}"", 'verbose : int', 'warm_start : bool, optional', 'n_jobs : int, optional']","[""<type 'str'>"", ""<type 'bool'>"", ""<type 'float'>"", ""<type 'bool'>"", ""<type 'float'>"", ""<type 'dict'>"", ""<type 'int'>"", ""(<type 'int'>, None, <type 'mtrand.RandomState'>)"", None, ""<type 'float'>"", ""<type 'str'>"", ""<type 'int'>"", ""<type 'bool'>"", ""<type 'int'>""]","penalty='l2', dual=False, tol=0.0001, C=1.0, fit_intercept=True, intercept_scaling=1, class_weight=None, random_state=None, solver='liblinear', max_iter=100, multi_class='ovr', verbose=0, warm_start=False, n_jobs=1","[('penalty', ""'l2'""), ('dual', 'False'), ('tol', '0.0001'), ('C', '1.0'), ('fit_intercept', 'True'), ('intercept_scaling', '1'), ('class_weight', 'None'), ('random_state', 'None'), ('solver', ""'liblinear'""), ('max_iter', '100'), ('multi_class', ""'ovr'""), ('verbose', '0'), ('warm_start', 'False'), ('n_jobs', '1')]",LogisticRegression,http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LogisticRegression.html#sklearn.linear_model.LogisticRegression,sklearn.linear_model,Generalized Linear Models
95,"['Cs', 'fit_intercept', 'class_weight', 'cv', 'penalty', 'dual', 'scoring', 'solver', 'tol', 'max_iter', 'n_jobs', 'verbose', 'refit', 'multi_class', 'intercept_scaling', 'random_state']","['Cs : list of floats | int', 'fit_intercept : bool, default: True', ""class_weight : dict or 'balanced', optional"", 'cv : integer or cross-validation generator', ""penalty : str, 'l1' or 'l2'"", 'dual : bool', 'scoring : callabale', ""solver : {'newton-cg', 'lbfgs', 'liblinear', 'sag'}"", 'tol : float, optional', 'max_iter : int, optional', 'n_jobs : int, optional', 'verbose : int', 'refit : bool', ""multi_class : str, {'ovr', 'multinomial'}"", 'intercept_scaling : float, default 1.', 'random_state : int seed, RandomState instance, or None (default)']","[""<type 'float'>"", ""<type 'bool'>"", ""<type 'dict'>"", ""<type 'int'>"", ""<type 'str'>"", ""<type 'bool'>"", '<built-in function callable>', None, ""<type 'float'>"", ""<type 'int'>"", ""<type 'int'>"", ""<type 'int'>"", ""<type 'bool'>"", ""<type 'str'>"", ""<type 'float'>"", ""(<type 'int'>, None, <type 'mtrand.RandomState'>)""]","Cs=10, fit_intercept=True, cv=None, dual=False, penalty='l2', scoring=None, solver='lbfgs', tol=0.0001, max_iter=100, class_weight=None, n_jobs=1, verbose=0, refit=True, intercept_scaling=1.0, multi_class='ovr', random_state=None","[('Cs', '10'), ('fit_intercept', 'True'), ('cv', 'None'), ('dual', 'False'), ('penalty', ""'l2'""), ('scoring', 'None'), ('solver', ""'lbfgs'""), ('tol', '0.0001'), ('max_iter', '100'), ('class_weight', 'None'), ('n_jobs', '1'), ('verbose', '0'), ('refit', 'True'), ('intercept_scaling', '1.0'), ('multi_class', ""'ovr'""), ('random_state', 'None')]",LogisticRegressionCV,http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LogisticRegressionCV.html#sklearn.linear_model.LogisticRegressionCV,sklearn.linear_model,Generalized Linear Models
96,"['alpha', 'fit_intercept', 'normalize', 'copy_X', 'max_iter', 'tol', 'warm_start', 'selection', 'random_state']","['alpha : float, optional', 'fit_intercept : boolean', 'normalize : boolean, optional, default False', 'copy_X : boolean, optional, default True', 'max_iter : int, optional', 'tol : float, optional', 'warm_start : bool, optional', ""selection : str, default 'cyclic'"", 'random_state : int, RandomState instance, or None (default)']","[""<type 'float'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'int'>"", ""<type 'float'>"", ""<type 'bool'>"", ""<type 'str'>"", ""(<type 'int'>, None, <type 'mtrand.RandomState'>)""]","alpha=1.0, fit_intercept=True, normalize=False, copy_X=True, max_iter=1000, tol=0.0001, warm_start=False, random_state=None, selection='cyclic'","[('alpha', '1.0'), ('fit_intercept', 'True'), ('normalize', 'False'), ('copy_X', 'True'), ('max_iter', '1000'), ('tol', '0.0001'), ('warm_start', 'False'), ('random_state', 'None'), ('selection', ""'cyclic'"")]",MultiTaskLasso,http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.MultiTaskLasso.html#sklearn.linear_model.MultiTaskLasso,sklearn.linear_model,Generalized Linear Models
97,"['alpha', 'l1_ratio', 'fit_intercept', 'normalize', 'copy_X', 'max_iter', 'tol', 'warm_start', 'selection', 'random_state']","['alpha : float, optional', 'l1_ratio : float', 'fit_intercept : boolean', 'normalize : boolean, optional, default False', 'copy_X : boolean, optional, default True', 'max_iter : int, optional', 'tol : float, optional', 'warm_start : bool, optional', ""selection : str, default 'cyclic'"", 'random_state : int, RandomState instance, or None (default)']","[""<type 'float'>"", ""<type 'float'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'int'>"", ""<type 'float'>"", ""<type 'bool'>"", ""<type 'str'>"", ""(<type 'int'>, None, <type 'mtrand.RandomState'>)""]","alpha=1.0, l1_ratio=0.5, fit_intercept=True, normalize=False, copy_X=True, max_iter=1000, tol=0.0001, warm_start=False, random_state=None, selection='cyclic'","[('alpha', '1.0'), ('l1_ratio', '0.5'), ('fit_intercept', 'True'), ('normalize', 'False'), ('copy_X', 'True'), ('max_iter', '1000'), ('tol', '0.0001'), ('warm_start', 'False'), ('random_state', 'None'), ('selection', ""'cyclic'"")]",MultiTaskElasticNet,http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.MultiTaskElasticNet.html#sklearn.linear_model.MultiTaskElasticNet,sklearn.linear_model,Generalized Linear Models
98,"['eps', 'alphas', 'n_alphas', 'fit_intercept', 'normalize', 'copy_X', 'max_iter', 'tol', 'cv', 'verbose', 'n_jobs', 'selection', 'random_state']","['eps : float, optional', 'alphas : array-like, optional', 'n_alphas : int, optional', 'fit_intercept : boolean', 'normalize : boolean, optional, default False', 'copy_X : boolean, optional, default True', 'max_iter : int, optional', 'tol : float, optional', 'cv : int, cross-validation generator or an iterable, optional', 'verbose : bool or integer', 'n_jobs : integer, optional', ""selection : str, default 'cyclic'"", 'random_state : int, RandomState instance, or None (default)']","[""<type 'float'>"", ""<type 'numpy.ndarray'>"", ""<type 'int'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'int'>"", ""<type 'float'>"", ""(<type 'int'>, <class 'sklearn.cross_validation.KFold'>)"", ""(<type 'bool'>, <type 'int'>)"", ""<type 'int'>"", ""<type 'str'>"", ""(<type 'int'>, None, <type 'mtrand.RandomState'>)""]","eps=0.001, n_alphas=100, alphas=None, fit_intercept=True, normalize=False, max_iter=1000, tol=0.0001, copy_X=True, cv=None, verbose=False, n_jobs=1, random_state=None, selection='cyclic'","[('eps', '0.001'), ('n_alphas', '100'), ('alphas', 'None'), ('fit_intercept', 'True'), ('normalize', 'False'), ('max_iter', '1000'), ('tol', '0.0001'), ('copy_X', 'True'), ('cv', 'None'), ('verbose', 'False'), ('n_jobs', '1'), ('random_state', 'None'), ('selection', ""'cyclic'"")]",MultiTaskLassoCV,http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.MultiTaskLassoCV.html#sklearn.linear_model.MultiTaskLassoCV,sklearn.linear_model,Generalized Linear Models
99,"['eps', 'alphas', 'n_alphas', 'l1_ratio', 'fit_intercept', 'normalize', 'copy_X', 'max_iter', 'tol', 'cv', 'verbose', 'n_jobs', 'selection', 'random_state']","['eps : float, optional', 'alphas : array-like, optional', 'n_alphas : int, optional', 'l1_ratio : float or array of floats', 'fit_intercept : boolean', 'normalize : boolean, optional, default False', 'copy_X : boolean, optional, default True', 'max_iter : int, optional', 'tol : float, optional', 'cv : int, cross-validation generator or an iterable, optional', 'verbose : bool or integer', 'n_jobs : integer, optional', ""selection : str, default 'cyclic'"", 'random_state : int, RandomState instance, or None (default)']","[""<type 'float'>"", ""<type 'numpy.ndarray'>"", ""<type 'int'>"", ""<type 'numpy.ndarray'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'int'>"", ""<type 'float'>"", ""(<type 'int'>, <class 'sklearn.cross_validation.KFold'>)"", ""(<type 'bool'>, <type 'int'>)"", ""<type 'int'>"", ""<type 'str'>"", ""(<type 'int'>, None, <type 'mtrand.RandomState'>)""]","l1_ratio=0.5, eps=0.001, n_alphas=100, alphas=None, fit_intercept=True, normalize=False, max_iter=1000, tol=0.0001, cv=None, copy_X=True, verbose=0, n_jobs=1, random_state=None, selection='cyclic'","[('l1_ratio', '0.5'), ('eps', '0.001'), ('n_alphas', '100'), ('alphas', 'None'), ('fit_intercept', 'True'), ('normalize', 'False'), ('max_iter', '1000'), ('tol', '0.0001'), ('cv', 'None'), ('copy_X', 'True'), ('verbose', '0'), ('n_jobs', '1'), ('random_state', 'None'), ('selection', ""'cyclic'"")]",MultiTaskElasticNetCV,http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.MultiTaskElasticNetCV.html#sklearn.linear_model.MultiTaskElasticNetCV,sklearn.linear_model,Generalized Linear Models
100,"['n_nonzero_coefs', 'tol', 'fit_intercept', 'normalize', 'precompute', 'Read more in the :ref:`User Guide <omp>`.']","['n_nonzero_coefs : int, optional', 'tol : float, optional', 'fit_intercept : boolean, optional', 'normalize : boolean, optional', ""precompute : {True, False, 'auto'}, default 'auto'"", 'Read more in the :ref:`User Guide <omp>`. :']","[""<type 'int'>"", ""<type 'float'>"", ""<type 'bool'>"", ""<type 'bool'>"", None, None]","n_nonzero_coefs=None, tol=None, fit_intercept=True, normalize=True, precompute='auto'","[('n_nonzero_coefs', 'None'), ('tol', 'None'), ('fit_intercept', 'True'), ('normalize', 'True'), ('precompute', ""'auto'"")]",OrthogonalMatchingPursuit,http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.OrthogonalMatchingPursuit.html#sklearn.linear_model.OrthogonalMatchingPursuit,sklearn.linear_model,Generalized Linear Models
101,"['copy', 'fit_intercept', 'normalize', 'max_iter', 'cv', 'n_jobs', 'verbose', 'Read more in the :ref:`User Guide <omp>`.']","['copy : bool, optional', 'fit_intercept : boolean, optional', 'normalize : boolean, optional', 'max_iter : integer, optional', 'cv : int, cross-validation generator or an iterable, optional', 'n_jobs : integer, optional', 'verbose : boolean or integer, optional', 'Read more in the :ref:`User Guide <omp>`. :']","[""<type 'bool'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'int'>"", ""(<type 'int'>, <class 'sklearn.cross_validation.KFold'>)"", ""<type 'int'>"", ""<type 'bool'>"", None]","copy=True, fit_intercept=True, normalize=True, max_iter=None, cv=None, n_jobs=1, verbose=False","[('copy', 'True'), ('fit_intercept', 'True'), ('normalize', 'True'), ('max_iter', 'None'), ('cv', 'None'), ('n_jobs', '1'), ('verbose', 'False')]",OrthogonalMatchingPursuitCV,http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.OrthogonalMatchingPursuitCV.html#sklearn.linear_model.OrthogonalMatchingPursuitCV,sklearn.linear_model,Generalized Linear Models
102,"['C', 'fit_intercept', 'n_iter', 'shuffle', 'random_state', 'verbose', 'n_jobs', 'loss', 'warm_start', 'class_weight']","['C : float', 'fit_intercept : bool, default=False', 'n_iter : int, optional', 'shuffle : bool, default=True', 'random_state : int seed, RandomState instance, or None (default)', 'verbose : integer, optional', 'n_jobs : integer, optional', 'loss : string, optional', 'warm_start : bool, optional', ""class_weight : dict, {class_label: weight} or 'balanced' or None, optional""]","[""<type 'float'>"", ""<type 'bool'>"", ""<type 'int'>"", ""<type 'bool'>"", ""(<type 'int'>, None, <type 'mtrand.RandomState'>)"", ""<type 'int'>"", ""<type 'int'>"", ""<type 'str'>"", ""<type 'bool'>"", ""<type 'dict'>""]","C=1.0, fit_intercept=True, n_iter=5, shuffle=True, verbose=0, loss='hinge', n_jobs=1, random_state=None, warm_start=False, class_weight=None","[('C', '1.0'), ('fit_intercept', 'True'), ('n_iter', '5'), ('shuffle', 'True'), ('verbose', '0'), ('loss', ""'hinge'""), ('n_jobs', '1'), ('random_state', 'None'), ('warm_start', 'False'), ('class_weight', 'None')]",PassiveAggressiveClassifier,http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.PassiveAggressiveClassifier.html#sklearn.linear_model.PassiveAggressiveClassifier,sklearn.linear_model,Generalized Linear Models
103,"['C', 'epsilon', 'fit_intercept', 'n_iter', 'shuffle', 'random_state', 'verbose', 'loss', 'warm_start']","['C : float', 'epsilon : float', 'fit_intercept : bool', 'n_iter : int, optional', 'shuffle : bool, default=True', 'random_state : int seed, RandomState instance, or None (default)', 'verbose : integer, optional', 'loss : string, optional', 'warm_start : bool, optional']","[""<type 'float'>"", ""<type 'float'>"", ""<type 'bool'>"", ""<type 'int'>"", ""<type 'bool'>"", ""(<type 'int'>, None, <type 'mtrand.RandomState'>)"", ""<type 'int'>"", ""<type 'str'>"", ""<type 'bool'>""]","C=1.0, fit_intercept=True, n_iter=5, shuffle=True, verbose=0, loss='epsilon_insensitive', epsilon=0.1, random_state=None, warm_start=False","[('C', '1.0'), ('fit_intercept', 'True'), ('n_iter', '5'), ('shuffle', 'True'), ('verbose', '0'), ('loss', ""'epsilon_insensitive'""), ('epsilon', '0.1'), ('random_state', 'None'), ('warm_start', 'False')]",PassiveAggressiveRegressor,http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.PassiveAggressiveRegressor.html#sklearn.linear_model.PassiveAggressiveRegressor,sklearn.linear_model,Generalized Linear Models
104,"['penalty', 'alpha', 'fit_intercept', 'n_iter', 'shuffle', 'random_state', 'verbose', 'n_jobs', 'eta0', 'class_weight', 'warm_start']","[""penalty : None, 'l2' or 'l1' or 'elasticnet'"", 'alpha : float', 'fit_intercept : bool', 'n_iter : int, optional', 'shuffle : bool, optional, default True', 'random_state : int seed, RandomState instance, or None (default)', 'verbose : integer, optional', 'n_jobs : integer, optional', 'eta0 : double', ""class_weight : dict, {class_label: weight} or 'balanced' or None, optional"", 'warm_start : bool, optional']","[None, ""<type 'float'>"", ""<type 'bool'>"", ""<type 'int'>"", ""<type 'bool'>"", ""(<type 'int'>, None, <type 'mtrand.RandomState'>)"", ""<type 'int'>"", ""<type 'int'>"", ""<type 'float'>"", ""<type 'dict'>"", ""<type 'bool'>""]","penalty=None, alpha=0.0001, fit_intercept=True, n_iter=5, shuffle=True, verbose=0, eta0=1.0, n_jobs=1, random_state=0, class_weight=None, warm_start=False","[('penalty', 'None'), ('alpha', '0.0001'), ('fit_intercept', 'True'), ('n_iter', '5'), ('shuffle', 'True'), ('verbose', '0'), ('eta0', '1.0'), ('n_jobs', '1'), ('random_state', '0'), ('class_weight', 'None'), ('warm_start', 'False')]",Perceptron,http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.Perceptron.html#sklearn.linear_model.Perceptron,sklearn.linear_model,Generalized Linear Models
105,"['alpha', 'scaling', 'sample_fraction', 'n_resampling', 'selection_threshold: float, optional', 'fit_intercept', 'verbose', 'normalize', 'precompute', 'max_iter', 'eps', 'n_jobs', 'random_state', 'pre_dispatch', 'memory']","[""alpha : float, 'aic', or 'bic', optional"", 'scaling : float, optional', 'sample_fraction : float, optional', 'n_resampling : int, optional', 'selection_threshold: float, optional :', 'fit_intercept : boolean, optional', 'verbose : boolean or integer, optional', 'normalize : boolean, optional, default True', ""precompute : True | False | 'auto'"", 'max_iter : integer, optional', 'eps : float, optional', 'n_jobs : integer, optional', 'random_state : int, RandomState instance or None, optional (default=None)', 'pre_dispatch : int, or string, optional', 'memory : Instance of joblib.Memory or string']","[""<type 'float'>"", ""<type 'float'>"", ""<type 'float'>"", ""<type 'int'>"", ""<type 'float'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'bool'>"", None, ""<type 'int'>"", ""<type 'float'>"", ""<type 'int'>"", ""(<type 'int'>, None, <type 'mtrand.RandomState'>)"", ""(<type 'int'>, <type 'str'>)"", ""(<class 'joblib.memory.Memory'>, <type 'str'>)""]","alpha='aic', scaling=0.5, sample_fraction=0.75, n_resampling=200, selection_threshold=0.25, fit_intercept=True, verbose=False, normalize=True, precompute='auto', max_iter=500, eps=2.2204460492503131e-16, random_state=None, n_jobs=1, pre_dispatch='3*n_jobs', memory=Memory(cachedir=None)","[('alpha', ""'aic'""), ('scaling', '0.5'), ('sample_fraction', '0.75'), ('n_resampling', '200'), ('selection_threshold', '0.25'), ('fit_intercept', 'True'), ('verbose', 'False'), ('normalize', 'True'), ('precompute', ""'auto'""), ('max_iter', '500'), ('eps', '2.2204460492503131e-16'), ('random_state', 'None'), ('n_jobs', '1'), ('pre_dispatch', ""'3*n_jobs'""), ('memory', 'Memory(cachedir=None)')]",RandomizedLasso,http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.RandomizedLasso.html#sklearn.linear_model.RandomizedLasso,sklearn.linear_model,Generalized Linear Models
106,"['C', 'scaling', 'sample_fraction', 'n_resampling', 'selection_threshold', 'fit_intercept', 'verbose', 'normalize', 'tol', 'n_jobs', 'random_state', 'pre_dispatch', 'memory']","['C : float, optional, default=1', 'scaling : float, optional, default=0.5', 'sample_fraction : float, optional, default=0.75', 'n_resampling : int, optional, default=200', 'selection_threshold : float, optional, default=0.25', 'fit_intercept : boolean, optional, default=True', 'verbose : boolean or integer, optional', 'normalize : boolean, optional, default=True', 'tol : float, optional, default=1e-3', 'n_jobs : integer, optional', 'random_state : int, RandomState instance or None, optional (default=None)', 'pre_dispatch : int, or string, optional', 'memory : Instance of joblib.Memory or string']","[""<type 'float'>"", ""<type 'float'>"", ""<type 'float'>"", ""<type 'int'>"", ""<type 'float'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'float'>"", ""<type 'int'>"", ""(<type 'int'>, None, <type 'mtrand.RandomState'>)"", ""(<type 'int'>, <type 'str'>)"", ""(<class 'joblib.memory.Memory'>, <type 'str'>)""]","C=1, scaling=0.5, sample_fraction=0.75, n_resampling=200, selection_threshold=0.25, tol=0.001, fit_intercept=True, verbose=False, normalize=True, random_state=None, n_jobs=1, pre_dispatch='3*n_jobs', memory=Memory(cachedir=None)","[('C', '1'), ('scaling', '0.5'), ('sample_fraction', '0.75'), ('n_resampling', '200'), ('selection_threshold', '0.25'), ('tol', '0.001'), ('fit_intercept', 'True'), ('verbose', 'False'), ('normalize', 'True'), ('random_state', 'None'), ('n_jobs', '1'), ('pre_dispatch', ""'3*n_jobs'""), ('memory', 'Memory(cachedir=None)')]",RandomizedLogisticRegression,http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.RandomizedLogisticRegression.html#sklearn.linear_model.RandomizedLogisticRegression,sklearn.linear_model,Generalized Linear Models
107,"['base_estimator', 'min_samples', 'residual_threshold', 'is_data_valid', 'is_model_valid', 'max_trials', 'stop_n_inliers', 'stop_score', 'stop_probability', 'residual_metric', 'random_state']","['base_estimator : object, optional', 'min_samples : int (>= 1) or float ([0, 1]), optional', 'residual_threshold : float, optional', 'is_data_valid : callable, optional', 'is_model_valid : callable, optional', 'max_trials : int, optional', 'stop_n_inliers : int, optional', 'stop_score : float, optional', 'stop_probability : float in range [0, 1], optional', 'residual_metric : callable, optional', 'random_state : integer or numpy.RandomState, optional']","[""<type 'object'>"", ""<type 'float'>"", ""<type 'float'>"", '<built-in function callable>', '<built-in function callable>', ""<type 'int'>"", ""<type 'int'>"", ""<type 'float'>"", ""<type 'float'>"", '<built-in function callable>', ""(<type 'int'>, <type 'mtrand.RandomState'>)""]","base_estimator=None, min_samples=None, residual_threshold=None, is_data_valid=None, is_model_valid=None, max_trials=100, stop_n_inliers=inf, stop_score=inf, stop_probability=0.99, residual_metric=None, random_state=None","[('base_estimator', 'None'), ('min_samples', 'None'), ('residual_threshold', 'None'), ('is_data_valid', 'None'), ('is_model_valid', 'None'), ('max_trials', '100'), ('stop_n_inliers', 'inf'), ('stop_score', 'inf'), ('stop_probability', '0.99'), ('residual_metric', 'None'), ('random_state', 'None')]",RANSACRegressor,http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.RANSACRegressor.html#sklearn.linear_model.RANSACRegressor,sklearn.linear_model,Generalized Linear Models
108,"['alpha', 'copy_X', 'fit_intercept', 'max_iter', 'normalize', 'solver', 'tol', 'random_state']","['alpha : {float, array-like}, shape (n_targets)', 'copy_X : boolean, optional, default True', 'fit_intercept : boolean', 'max_iter : int, optional', 'normalize : boolean, optional, default False', ""solver : {'auto', 'svd', 'cholesky', 'lsqr', 'sparse_cg', 'sag'}"", 'tol : float', 'random_state : int seed, RandomState instance, or None (default)']","[""<type 'numpy.ndarray'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'int'>"", ""<type 'bool'>"", None, ""<type 'float'>"", ""(<type 'int'>, None, <type 'mtrand.RandomState'>)""]","alpha=1.0, fit_intercept=True, normalize=False, copy_X=True, max_iter=None, tol=0.001, solver='auto', random_state=None","[('alpha', '1.0'), ('fit_intercept', 'True'), ('normalize', 'False'), ('copy_X', 'True'), ('max_iter', 'None'), ('tol', '0.001'), ('solver', ""'auto'""), ('random_state', 'None')]",Ridge,http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.Ridge.html#sklearn.linear_model.Ridge,sklearn.linear_model,Generalized Linear Models
109,"['alpha', 'class_weight', 'copy_X', 'fit_intercept', 'max_iter', 'normalize', 'solver', 'tol', 'random_state']","['alpha : float', ""class_weight : dict or 'balanced', optional"", 'copy_X : boolean, optional, default True', 'fit_intercept : boolean', 'max_iter : int, optional', 'normalize : boolean, optional, default False', ""solver : {'auto', 'svd', 'cholesky', 'lsqr', 'sparse_cg', 'sag'}"", 'tol : float', 'random_state : int seed, RandomState instance, or None (default)']","[""<type 'float'>"", ""<type 'dict'>"", ""<type 'bool'>"", ""<type 'bool'>"", ""<type 'int'>"", ""<type 'bool'>"", None, ""<type 'float'>"", ""(<type 'int'>, None, <type 'mtrand.RandomState'>)""]","alpha=1.0, fit_intercept=True, normalize=False, copy_X=True, max_iter=None, tol=0.001, class_weight=None, solver='auto', random_state=None","[('alpha', '1.0'), ('fit_intercept', 'True'), ('normalize', 'False'), ('copy_X', 'True'), ('max_iter', 'None'), ('tol', '0.001'), ('class_weight', 'None'), ('solver', ""'auto'""), ('random_state', 'None')]",RidgeClassifier,http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.RidgeClassifier.html#sklearn.linear_model.RidgeClassifier,sklearn.linear_model,Generalized Linear Models
